iter	RMSE
595	1.039692184
596	1.038234756
597	1.037926289
598	1.036993125
599	1.035510842
600	1.033871813
601	1.032104596
602	1.030778656
603	1.030583772
604	1.029215862
605	1.027533748
606	1.025539795
607	1.023636948
608	1.021433051
609	1.019392271
610	1.018066587
611	1.01576985
612	1.014564471
613	1.0130043
614	1.011269503
615	1.009830476
616	1.008518344
617	1.007881284
618	1.006147264
619	1.004785994
620	1.004413451
621	1.002302452
622	1.000666421
623	0.9999758511
624	0.9978990382
625	0.9976201255
626	0.9957568878
627	0.9936754759
628	0.9921497773
629	0.9902442304
630	0.9882740453
631	0.9874718368
632	0.9858819592
633	0.9840790651
634	0.9822303778
635	0.9796090431
636	0.9782031973
637	0.9761673417
638	0.9737763122
639	0.9733195585
640	0.9716465507
641	0.9707227609
642	0.9695473988
643	0.9673144029
644	0.9666617406
645	0.964763385
646	0.9636230467
647	0.9612962878
648	0.9593585587
649	0.9577273192
650	0.95686318
651	0.9558403158
652	0.9542619125
653	0.9532324609
654	0.9523999748
655	0.951120549
656	0.9487503378
657	0.9484500084
658	0.9464692776
659	0.9450261977
660	0.9436488122
661	0.9422449702
662	0.9403637066
663	0.9386872823
664	0.9369205838
665	0.9359004423
666	0.9347326579
667	0.932550662
668	0.930222329
669	0.9295033659
670	0.9279644896
671	0.9277521199
672	0.9259401282
673	0.9237510231
674	0.9214461282
675	0.9211365578
676	0.9201183376
677	0.9184875234
678	0.9174056128
679	0.9166506337
680	0.9153464352
681	0.9136452402
682	0.9117574678
683	0.9106579138
684	0.9086173562
685	0.9073650011
686	0.9064634679
687	0.9051701126
688	0.9040979887
689	0.9029292899
690	0.901618082
691	0.9001631738
692	0.8991142202
693	0.8985341155
694	0.8970022405
695	0.8960393763
696	0.894851471
697	0.8929276052
698	0.8927762448
699	0.8914472821
700	0.889555673
701	0.8879480697
702	0.8869423058
703	0.8856747823
704	0.8851784041
705	0.88383883
706	0.8831010515
707	0.8823744475
708	0.8805731478
709	0.8791290603
710	0.8779498901
711	0.8765372235
712	0.8756053827
713	0.8744659059
714	0.8727010094
715	0.872138355
716	0.8707304595
717	0.8695469296
718	0.8682467748
719	0.8679611052
720	0.8670370063
721	0.8663259288
722	0.8654640097
723	0.8640259476
724	0.8638137374
725	0.8623918156
726	0.8616692991
727	0.8606592355
728	0.8595115348
729	0.8580636411
730	0.8568113533
731	0.8563020076
732	0.8552711797
733	0.8543453699
734	0.854231311
735	0.8538042656
736	0.852308353
737	0.8520736589
738	0.8510134034
739	0.8498258388
740	0.8485111134
741	0.8483794933
742	0.8469109789
743	0.8449929975
744	0.8437534001
745	0.8430204466
746	0.8419970007
747	0.8412508581
748	0.8409894604
749	0.8401810404
750	0.8397736957
751	0.8385581889
752	0.8378660572
753	0.8367568673
754	0.8356847163
755	0.8345992706
756	0.8336767929
757	0.8325487479
758	0.8316089835
759	0.8305298354
760	0.8293702458
761	0.8290138161
762	0.8278082521
763	0.8269001796
764	0.8260563196
765	0.8250949003
766	0.8248322421
767	0.8240005662
768	0.8226501455
769	0.8220176337
770	0.8219015028
771	0.8207045702
772	0.8196313295
773	0.8185529251
774	0.8178227298
775	0.8167981848
776	0.816720142
777	0.8155436094
778	0.8147339836
779	0.8137288279
780	0.8135694024
781	0.8126133988
782	0.8113931696
783	0.8100073453
784	0.8083864654
785	0.8074390415
786	0.8065561343
787	0.8047977612
788	0.8038127092
789	0.8036964447
790	0.8029749654
791	0.8016934603
792	0.8007950226
793	0.7997809013
794	0.7985085963
795	0.7982367573
796	0.7971123662
797	0.79588956
798	0.7951208061
799	0.7937753719
800	0.792733158
801	0.79109825
802	0.7901514943
803	0.7889421108
804	0.7876396057
805	0.7873527618
806	0.7861297729
807	0.7855146793
808	0.7844955062
809	0.7832866738
810	0.7820612635
811	0.7812659371
812	0.7804584801
813	0.7794106041
814	0.778490792
815	0.7777999352
816	0.7765776066
817	0.7756738417
818	0.7754236586
819	0.7740552007
820	0.7724641245
821	0.7710611603
822	0.770339741
823	0.7687376174
824	0.7670031637
825	0.7663831094
826	0.7662112259
827	0.7652079169
828	0.7637145184
829	0.7628174459
830	0.7622534457
831	0.7614392019
832	0.7612063943
833	0.7600716147
834	0.7587420643
835	0.757967125
836	0.757044107
837	0.7561976491
838	0.7558483753
839	0.7546459457
840	0.7530095254
841	0.7518563066
842	0.7513300242
843	0.7496184756
844	0.748620326
845	0.7476188066
846	0.7465305479
847	0.7448775187
848	0.743822568
849	0.7428995194
850	0.7418339302
851	0.7408181873
852	0.7394906608
853	0.7384104756
854	0.7377529145
855	0.7373489642
856	0.7366787136
857	0.7356126963
858	0.7344669803
859	0.7331705907
860	0.7321195488
861	0.7313074319
862	0.7307605593
863	0.7302878474
864	0.7294722076
865	0.7283488881
866	0.7272643095
867	0.7260727357
868	0.7251598709
869	0.7241721089
870	0.7228716633
871	0.7217568173
872	0.7207811848
873	0.7199739352
874	0.719708524
875	0.7196116161
876	0.7192354244
877	0.7190411873
878	0.7183999074
879	0.7172143372
880	0.7159643036
881	0.7158799546
882	0.7157506809
883	0.7150643687
884	0.7138089977
885	0.7120730477
886	0.7109846149
887	0.7103971835
888	0.7099028369
889	0.7086717551
890	0.7075870905
891	0.7071059212
892	0.7057905724
893	0.7045900098
894	0.703797113
895	0.7035377455
896	0.702283118
897	0.7015636049
898	0.7004185171
899	0.6993085231
900	0.6983081173
901	0.697359914
902	0.6962032679
903	0.6949072964
904	0.6937388557
905	0.6930906199
906	0.6919276603
907	0.6913282061
908	0.6906641591
909	0.6898266068
910	0.6891251157
911	0.6881115272
912	0.6867157847
913	0.6866199198
914	0.6863516282
915	0.6855322764
916	0.6843138081
917	0.6834149016
918	0.6825857912
919	0.6817264808
920	0.6809736842
921	0.6798208309
922	0.6790001838
923	0.6777643139
924	0.6771675601
925	0.6764034193
926	0.675435703
927	0.6746837649
928	0.6743239097
929	0.6737038192
930	0.6733587005
931	0.6729302703
932	0.672305322
933	0.6714011445
934	0.6711987157
935	0.6704823588
936	0.6698584204
937	0.6690229075
938	0.6688628528
939	0.6676721919
940	0.6667551913
941	0.6659246822
942	0.6653739161
943	0.6646187925
944	0.6635043435
945	0.6620412986
946	0.6618911303
947	0.6610965563
948	0.6600220105
949	0.6591289624
950	0.6582475029
951	0.6576668421
952	0.6567291251
953	0.6554881936
954	0.6544148285
955	0.6530733782
956	0.6520227091
957	0.6515268304
958	0.651406835
959	0.6509051815
960	0.650050259
961	0.6490121794
962	0.6482089509
963	0.647613674
964	0.6472641463
965	0.6469707139
966	0.6464087162
967	0.6461150488
968	0.6460309134
969	0.6457836168
970	0.6452689775
971	0.6449986571
972	0.6444866029
973	0.6443362299
974	0.6430932084
975	0.6426498997
976	0.6421797506
977	0.6416043487
978	0.6409159814
979	0.6405164319
980	0.6400631533
981	0.6392839431
982	0.6382286415
983	0.6377631952
984	0.6363189089
985	0.6354586847
986	0.6348570241
987	0.6338155486
988	0.6330504864
989	0.6321184251
990	0.6315679974
991	0.6307123877
992	0.6301464091
993	0.6294120453
994	0.6283900403
995	0.6282778047
996	0.6278144538
997	0.6268165649
998	0.625863249
999	0.6249856206
