iter	Logloss	Accuracy
216	0.4000676082	0.8292781398
217	0.3998882127	0.8293574856
218	0.3997817947	0.8294251629
219	0.3996835465	0.829478838
220	0.399502874	0.8296095252
221	0.3994144592	0.8296748688
222	0.3991519651	0.8298568975
223	0.3989891435	0.8298942367
224	0.398780658	0.8299595803
225	0.3985243624	0.830078599
226	0.3983328344	0.8301906167
227	0.3981608471	0.8302956332
228	0.3980438726	0.8303213039
229	0.3979174365	0.830351642
230	0.3977386117	0.8304029834
231	0.3974177455	0.8305336706
232	0.3972476806	0.8307063645
233	0.3971048097	0.8307227004
234	0.3970090967	0.8307227004
235	0.396840946	0.8308020462
236	0.3965875535	0.8309560704
237	0.3964598733	0.8310050781
238	0.396303148	0.8310797565
239	0.3961150666	0.8311497676
240	0.3959483861	0.8312361145
241	0.395732381	0.8313434647
242	0.3950567751	0.8316258425
243	0.3948526595	0.8316631817
244	0.3947082782	0.8317728656
245	0.394609974	0.8318102048
246	0.3944455611	0.8319432257
247	0.3943479081	0.8319852323
248	0.3941704354	0.8320179042
249	0.3940265346	0.832120587
250	0.3939161183	0.832213935
251	0.3938378324	0.8322022665
252	0.3937441718	0.8322956145
253	0.3935762721	0.8324076321
254	0.3934190313	0.8324776431
255	0.393267703	0.8325523216
256	0.3931507289	0.8326059967
257	0.3928336783	0.8328557026
258	0.392726031	0.8328673711
259	0.392539901	0.8329840562
260	0.3924243034	0.8330143943
261	0.3919326629	0.8332570991
262	0.3917385825	0.8333714504
263	0.3916495896	0.8334601311
264	0.3914640633	0.8335768161
265	0.3913122081	0.8336794989
266	0.3911719317	0.8337075033
267	0.3910142886	0.8337938502
268	0.3908284935	0.833912869
269	0.3906461302	0.833959543
270	0.3904953273	0.8340598921
271	0.390309369	0.8340948976
272	0.3902209027	0.8341485727
273	0.3901159733	0.8342185837
274	0.3897770861	0.8344589549
275	0.389651525	0.8345172974
276	0.3895333877	0.8345709725
277	0.3890417355	0.8347016597
278	0.3889777596	0.8347506674
279	0.3883934033	0.8349677016
280	0.3874603747	0.8354601124
281	0.3872692216	0.8354927842
282	0.3866967004	0.8356584769
283	0.3866140897	0.8357028172
284	0.3864771264	0.8357471576
285	0.3862862319	0.8358428393
286	0.3861153639	0.8358801785
287	0.3860009126	0.8359921961
288	0.3858517163	0.8360061983
289	0.3857215032	0.8360435375
290	0.385553033	0.8361322181
291	0.3853718242	0.8362138977
292	0.3852972279	0.8362885761
293	0.3851627063	0.8363329164
294	0.3850145955	0.8364729384
295	0.3848842838	0.8364939417
296	0.3847431258	0.8365569516
297	0.3845777012	0.8366479659
298	0.3843326362	0.8367296455
299	0.3842157846	0.8367669847
