iter	Logloss	Accuracy
123	0.4382523012	0.8095863749
124	0.4380760787	0.809663387
125	0.4379494688	0.8097567351
126	0.4377110066	0.8098827549
127	0.4374814803	0.8099784366
128	0.4373113054	0.8100461139
129	0.437087704	0.8101534641
130	0.436901263	0.810279484
131	0.4363890914	0.810536191
132	0.4361419887	0.8105501932
133	0.4359740104	0.8105945335
134	0.4358428721	0.8106785468
135	0.4356413706	0.8107602263
136	0.4354000946	0.810879245
137	0.4352195393	0.8110402703
138	0.4350898264	0.8111919609
139	0.434849753	0.8113016448
140	0.4346221085	0.811455669
141	0.4343670598	0.8115793552
142	0.434132482	0.8116657021
143	0.4340133782	0.811705375
144	0.433853689	0.8117870545
145	0.4336232166	0.8118290611
146	0.4334259616	0.8119457461
147	0.4332455937	0.812008756
148	0.4326988156	0.8120764334
149	0.4324955024	0.8121511118
150	0.4323467285	0.8122211228
151	0.4315633905	0.8126411889
152	0.4308414552	0.813224614
153	0.4306804255	0.8132992924
154	0.4305153932	0.8133226294
155	0.4300714221	0.8134369808
156	0.4298877943	0.8135723354
157	0.4297085264	0.8136750182
158	0.4295185386	0.8137660325
159	0.4293580144	0.8137823684
160	0.4291430053	0.8138593805
161	0.4289430615	0.8139760656
162	0.4287370816	0.8140927506
163	0.4285259113	0.8141650953
164	0.4283649871	0.8142701118
165	0.4282306712	0.8143727947
166	0.4280516952	0.8144918134
167	0.4278851881	0.8145781603
168	0.4276848516	0.8147111812
169	0.4275684774	0.8147228497
170	0.4268466309	0.8148021955
171	0.42664149	0.8148652055
172	0.4264846341	0.8149072121
173	0.4262749357	0.8151499169
174	0.4260936189	0.8152175942
175	0.4259363053	0.8152759367
176	0.4257969165	0.8154089577
177	0.4256363627	0.8154719676
178	0.4254730411	0.8155513134
179	0.4252661276	0.8156329929
180	0.425070317	0.8157053376
181	0.4249502618	0.8157520116
182	0.4248399411	0.8157893509
183	0.4247402994	0.8157940183
184	0.4246036984	0.8158290238
185	0.4244638173	0.8158897
186	0.4242991676	0.8160250546
187	0.4240843904	0.8160950656
188	0.4239886121	0.8161534081
189	0.4238261781	0.8162467562
190	0.4236461059	0.8163191009
191	0.4235272102	0.8163401042
192	0.4233382816	0.8164357859
193	0.4231279726	0.8165057969
194	0.4229732167	0.816606146
195	0.422798972	0.816629483
196	0.4226229105	0.8167041615
197	0.422392277	0.8168115117
198	0.4222638036	0.8168301813
199	0.4220398448	0.8169421989
200	0.4219169137	0.8170588839
201	0.4217847167	0.8171195601
202	0.421207351	0.8175396262
203	0.4210176646	0.817572298
204	0.4208554188	0.8176259732
205	0.4199032926	0.8177799974
206	0.4197237093	0.8178430073
207	0.419627677	0.8178546758
208	0.4194594918	0.8180016989
209	0.4192324112	0.818095047
210	0.4191377254	0.8181253851
211	0.4189452214	0.8182257342
212	0.418421121	0.8186504677
213	0.4182503934	0.8187484831
214	0.4180436751	0.8188464985
215	0.4178235504	0.8189561824
216	0.4177070421	0.8189888542
217	0.4175230844	0.8190471968
218	0.4173748396	0.8191032056
219	0.4172560685	0.8191055393
220	0.4170783994	0.8192338928
221	0.4169562484	0.8193085712
222	0.416053697	0.8195816142
223	0.4158836894	0.8197006329
224	0.415694231	0.8197683102
225	0.4155789345	0.8198523234
226	0.4154476223	0.8199340029
227	0.4152895553	0.8200413532
228	0.4151525409	0.8200903609
229	0.4147085649	0.8203844071
230	0.4145411575	0.8204567519
231	0.414359481	0.8205500999
232	0.414168465	0.8206597838
233	0.4140442459	0.8206597838
234	0.4138059636	0.8207531318
235	0.4136937273	0.8207391296
236	0.4135726076	0.8207811362
237	0.4134694743	0.8208418124
238	0.4132921354	0.8209118235
239	0.4131074617	0.8210005041
240	0.4129777194	0.821040177
241	0.4128634954	0.821063514
242	0.4126360762	0.8212058697
243	0.4111187833	0.8219806583
244	0.4110157628	0.8220133301
245	0.4109131357	0.8220413345
246	0.4107785418	0.8221626869
247	0.4105960857	0.8222210294
248	0.4104110123	0.8223610515
249	0.4102437166	0.8224170603
250	0.4101199359	0.8225477475
251	0.4095255055	0.8227717828
252	0.4093806025	0.8228627971
253	0.4092026102	0.8230028191
254	0.4085481887	0.8233178687
255	0.4084142199	0.8234205515
256	0.4081900261	0.8234672255
257	0.4075014726	0.8238592872
258	0.4067490783	0.8244380449
259	0.4066296974	0.8245827344
260	0.40642559	0.8246690813
261	0.4058837918	0.8250424733
262	0.4057701182	0.8250331385
263	0.4056197924	0.8250774789
264	0.405426703	0.8252315031
265	0.4049498682	0.825504546
266	0.4047978524	0.8255185483
267	0.4045662345	0.8256235648
268	0.4044869204	0.8256912421
269	0.404358437	0.8258452663
270	0.4042558209	0.8258616022
271	0.4030420831	0.8263236749
272	0.4028376251	0.8263026716
273	0.4021734417	0.8268184194
274	0.4018400032	0.8270377873
275	0.4017478976	0.8270984635
276	0.4016562827	0.8271498049
277	0.4014458973	0.8272174822
278	0.4012769126	0.8272758247
279	0.4011619634	0.8273271661
280	0.4010471699	0.8273785076
281	0.4009439315	0.8274415175
282	0.4008173322	0.8275815395
283	0.4006908507	0.8276422157
284	0.4002214574	0.8279502642
285	0.400037604	0.8279689338
286	0.3998929347	0.8280506133
287	0.3996618072	0.8281276254
288	0.3995148008	0.8281813005
289	0.3993986357	0.8282233071
290	0.3992373455	0.8283143215
291	0.3990634481	0.8283423259
292	0.3989382959	0.8284240054
293	0.3987776661	0.8285010175
294	0.3986193426	0.8285686948
295	0.3984217687	0.8286200362
296	0.3983241895	0.8287017157
297	0.3981623447	0.8287787279
298	0.3980122257	0.82885574
299	0.3978715313	0.8289140825
